City_Name,City_Code,percent_arab,percent_haredi,city_population
אבו ג'ווייעד (שבט),467061,to_be_determined,to_be_determined,to_be_determined
אבו גוש,227976,to_be_determined,to_be_determined,to_be_determined
אבו סנאן,228459,to_be_determined,to_be_determined,to_be_determined
אבו קורינאת (שבט),467544,to_be_determined,to_be_determined,to_be_determined
אבו רובייעה (שבט),466578,to_be_determined,to_be_determined,to_be_determined
אבו רוקייק (שבט),464163,to_be_determined,to_be_determined,to_be_determined
אבו תלול,664125,to_be_determined,to_be_determined,to_be_determined
אבטין,314916,to_be_determined,to_be_determined,to_be_determined
אבן יהודה,87906,to_be_determined,to_be_determined,to_be_determined
אבני חפץ,1832019,to_be_determined,to_be_determined,to_be_determined
אום אל-פחם,1308930,to_be_determined,to_be_determined,to_be_determined
אום בטין,655914,to_be_determined,to_be_determined,to_be_determined
אופקים,14973,to_be_determined,to_be_determined,to_be_determined
אור יהודה,1159200,to_be_determined,to_be_determined,to_be_determined
אור עקיבא,492660,to_be_determined,to_be_determined,to_be_determined
אורנית,1816080,to_be_determined,to_be_determined,to_be_determined
אזור,272895,to_be_determined,to_be_determined,to_be_determined
אחוזת ברק,642390,to_be_determined,to_be_determined,to_be_determined
אטרש (שבט),466095,to_be_determined,to_be_determined,to_be_determined
אילת,1255800,to_be_determined,to_be_determined,to_be_determined
אכסאל,230874,to_be_determined,to_be_determined,to_be_determined
אל סייד,656397,to_be_determined,to_be_determined,to_be_determined
אלון שבות,1740732,to_be_determined,to_be_determined,to_be_determined
אליכין,19803,to_be_determined,to_be_determined,to_be_determined
אלעד,632247,to_be_determined,to_be_determined,to_be_determined
אלעזר,1747494,to_be_determined,to_be_determined,to_be_determined
אלפי מנשה,1811250,to_be_determined,to_be_determined,to_be_determined
אלקנה,1719480,to_be_determined,to_be_determined,to_be_determined
אעבלין,255507,to_be_determined,to_be_determined,to_be_determined
אעצם (שבט),465129,to_be_determined,to_be_determined,to_be_determined
אפרת,1762950,to_be_determined,to_be_determined,to_be_determined
אריאל,1724310,to_be_determined,to_be_determined,to_be_determined
אשדוד,33810,to_be_determined,to_be_determined,to_be_determined
אשקלון,3429300,to_be_determined,to_be_determined,to_be_determined
באקה אל-גרביה,2898000,to_be_determined,to_be_determined,to_be_determined
באר יעקב,1221990,to_be_determined,to_be_determined,to_be_determined
באר שבע,4347000,to_be_determined,to_be_determined,to_be_determined
בועיינה-נוג'ידאת,232806,to_be_determined,to_be_determined,to_be_determined
בוקעאתא,1932483,to_be_determined,to_be_determined,to_be_determined
ביר אל-מכסור,482034,to_be_determined,to_be_determined,to_be_determined
ביר הדאג',651084,to_be_determined,to_be_determined,to_be_determined
בית אל,1726242,to_be_determined,to_be_determined,to_be_determined
בית אריה,1763916,to_be_determined,to_be_determined,to_be_determined
בית ג'ן,231840,to_be_determined,to_be_determined,to_be_determined
בית דגן,225078,to_be_determined,to_be_determined,to_be_determined
בית חשמונאי,507150,to_be_determined,to_be_determined,to_be_determined
בית יצחק-שער חפר,157458,to_be_determined,to_be_determined,to_be_determined
בית שאן,4443600,to_be_determined,to_be_determined,to_be_determined
בית שמש,1260630,to_be_determined,to_be_determined,to_be_determined
ביתר עילית,1825740,to_be_determined,to_be_determined,to_be_determined
בני ברק,2946300,to_be_determined,to_be_determined,to_be_determined
"בני עי""ש",514878,to_be_determined,to_be_determined,to_be_determined
בנימינה-גבעת עדה,4733400,to_be_determined,to_be_determined,to_be_determined
"בסמ""ה",640458,to_be_determined,to_be_determined,to_be_determined
בסמת טבעון,455952,to_be_determined,to_be_determined,to_be_determined
בענה,233289,to_be_determined,to_be_determined,to_be_determined
ברכה,1791930,to_be_determined,to_be_determined,to_be_determined
ברקת,984354,to_be_determined,to_be_determined,to_be_determined
בת חפר,637077,to_be_determined,to_be_determined,to_be_determined
בת ים,2994600,to_be_determined,to_be_determined,to_be_determined
ג'דיידה-מכר,624036,to_be_determined,to_be_determined,to_be_determined
ג'ולס,234255,to_be_determined,to_be_determined,to_be_determined
ג'לג'וליה,302841,to_be_determined,to_be_determined,to_be_determined
ג'סר א-זרקא,261303,to_be_determined,to_be_determined,to_be_determined
ג'ש (גוש חלב),235221,to_be_determined,to_be_determined,to_be_determined
ג'ת,303324,to_be_determined,to_be_determined,to_be_determined
גבע בנימין,1817529,to_be_determined,to_be_determined,to_be_determined
גבעת אבני,624519,to_be_determined,to_be_determined,to_be_determined
גבעת ברנר,71001,to_be_determined,to_be_determined,to_be_determined
גבעת זאב,1801590,to_be_determined,to_be_determined,to_be_determined
גבעת שמואל,328923,to_be_determined,to_be_determined,to_be_determined
גבעתיים,3042900,to_be_determined,to_be_determined,to_be_determined
גדרה,1231650,to_be_determined,to_be_determined,to_be_determined
גן יבנה,80178,to_be_determined,to_be_determined,to_be_determined
גן נר,615342,to_be_determined,to_be_determined,to_be_determined
גני מודיעין,1846509,to_be_determined,to_be_determined,to_be_determined
גני תקווה,110607,to_be_determined,to_be_determined,to_be_determined
דאלית אל-כרמל,238602,to_be_determined,to_be_determined,to_be_determined
דבוריה,236187,to_be_determined,to_be_determined,to_be_determined
דייר אל-אסד,236670,to_be_determined,to_be_determined,to_be_determined
דייר חנא,237636,to_be_determined,to_be_determined,to_be_determined
דימונה,1062600,to_be_determined,to_be_determined,to_be_determined
הוד השרון,4685100,to_be_determined,to_be_determined,to_be_determined
הוואשלה (שבט),564627,to_be_determined,to_be_determined,to_be_determined
הושעיה,572838,to_be_determined,to_be_determined,to_be_determined
הר אדר,1820427,to_be_determined,to_be_determined,to_be_determined
הרצליה,3091200,to_be_determined,to_be_determined,to_be_determined
זכרון יעקב,4491900,to_be_determined,to_be_determined,to_be_determined
זמר,623070,to_be_determined,to_be_determined,to_be_determined
זרזיר,470925,to_be_determined,to_be_determined,to_be_determined
חדרה,3139500,to_be_determined,to_be_determined,to_be_determined
חולון,3187800,to_be_determined,to_be_determined,to_be_determined
חורה,629349,to_be_determined,to_be_determined,to_be_determined
חורפיש,239568,to_be_determined,to_be_determined,to_be_determined
חיפה,1932000,to_be_determined,to_be_determined,to_be_determined
חספין,1934415,to_be_determined,to_be_determined,to_be_determined
חצור הגלילית,982422,to_be_determined,to_be_determined,to_be_determined
חריש,602301,to_be_determined,to_be_determined,to_be_determined
חשמונאים,1820910,to_be_determined,to_be_determined,to_be_determined
טבריה,3236100,to_be_determined,to_be_determined,to_be_determined
טובא-זנגריה,464646,to_be_determined,to_be_determined,to_be_determined
טורעאן,240534,to_be_determined,to_be_determined,to_be_determined
טייבה,1318590,to_be_determined,to_be_determined,to_be_determined
טירה,1313760,to_be_determined,to_be_determined,to_be_determined
טירת כרמל,1014300,to_be_determined,to_be_determined,to_be_determined
טלמון,1829604,to_be_determined,to_be_determined,to_be_determined
טמרה,4298700,to_be_determined,to_be_determined,to_be_determined
יאנוח-ג'ת,625485,to_be_determined,to_be_determined,to_be_determined
יבנאל,22218,to_be_determined,to_be_determined,to_be_determined
יבנה,1284780,to_be_determined,to_be_determined,to_be_determined
יד בנימין,278691,to_be_determined,to_be_determined,to_be_determined
יהוד,4540200,to_be_determined,to_be_determined,to_be_determined
יפיע,241017,to_be_determined,to_be_determined,to_be_determined
יקיר,1761501,to_be_determined,to_be_determined,to_be_determined
יקנעם עילית,115920,to_be_determined,to_be_determined,to_be_determined
ירוחם,401373,to_be_determined,to_be_determined,to_be_determined
ירושלים,1449000,to_be_determined,to_be_determined,to_be_determined
ירכא,242466,to_be_determined,to_be_determined,to_be_determined
כאבול,243432,to_be_determined,to_be_determined,to_be_determined
כאוכב אבו אל-היג'א,243915,to_be_determined,to_be_determined,to_be_determined
כוכב השחר,1721412,to_be_determined,to_be_determined,to_be_determined
כוכב יאיר,591192,to_be_determined,to_be_determined,to_be_determined
כוכב יעקב,1825257,to_be_determined,to_be_determined,to_be_determined
כסיפה,511497,to_be_determined,to_be_determined,to_be_determined
כסרא-סמיע,625968,to_be_determined,to_be_determined,to_be_determined
כעביה-טבאש-חג'אג'רה,472374,to_be_determined,to_be_determined,to_be_determined
כפר אדומים,1757154,to_be_determined,to_be_determined,to_be_determined
כפר ברא,305739,to_be_determined,to_be_determined,to_be_determined
כפר האורנים,1833468,to_be_determined,to_be_determined,to_be_determined
כפר ורדים,610029,to_be_determined,to_be_determined,to_be_determined
"כפר חב""ד",336168,to_be_determined,to_be_determined,to_be_determined
כפר יאסיף,244881,to_be_determined,to_be_determined,to_be_determined
כפר יונה,81144,to_be_determined,to_be_determined,to_be_determined
כפר כמא,245364,to_be_determined,to_be_determined,to_be_determined
כפר כנא,245847,to_be_determined,to_be_determined,to_be_determined
כפר מנדא,246330,to_be_determined,to_be_determined,to_be_determined
כפר מצר,247296,to_be_determined,to_be_determined,to_be_determined
כפר סבא,3332700,to_be_determined,to_be_determined,to_be_determined
כפר קאסם,306222,to_be_determined,to_be_determined,to_be_determined
כפר קרע,315882,to_be_determined,to_be_determined,to_be_determined
כפר תבור,22701,to_be_determined,to_be_determined,to_be_determined
כרמיאל,550137,to_be_determined,to_be_determined,to_be_determined
לא ידוע,4829517,to_be_determined,to_be_determined,to_be_determined
להבים,613893,to_be_determined,to_be_determined,to_be_determined
לוד,3381000,to_be_determined,to_be_determined,to_be_determined
לפיד,632730,to_be_determined,to_be_determined,to_be_determined
לקיה,511980,to_be_determined,to_be_determined,to_be_determined
מבוא חורון,1791447,to_be_determined,to_be_determined,to_be_determined
מבשרת ציון,490245,to_be_determined,to_be_determined,to_be_determined
מג'ד אל-כרום,249228,to_be_determined,to_be_determined,to_be_determined
מג'דל שמס,2029083,to_be_determined,to_be_determined,to_be_determined
מגאר,232323,to_be_determined,to_be_determined,to_be_determined
מגדל העמק,422142,to_be_determined,to_be_determined,to_be_determined
מודיעין עילית,1833951,to_be_determined,to_be_determined,to_be_determined
מודיעין-מכבים-רעות,579600,to_be_determined,to_be_determined,to_be_determined
מוקייבלה,306705,to_be_determined,to_be_determined,to_be_determined
מזכרת בתיה,13524,to_be_determined,to_be_determined,to_be_determined
מזרעה,249711,to_be_determined,to_be_determined,to_be_determined
מייסר,313467,to_be_determined,to_be_determined,to_be_determined
מיתר,612444,to_be_determined,to_be_determined,to_be_determined
מסעדה,2030049,to_be_determined,to_be_determined,to_be_determined
מסעודין אל-עזאזמה,453537,to_be_determined,to_be_determined,to_be_determined
מעגלים,522606,to_be_determined,to_be_determined,to_be_determined
מעגן מיכאל,335202,to_be_determined,to_be_determined,to_be_determined
מעיליא,250194,to_be_determined,to_be_determined,to_be_determined
מעלה אדומים,1746528,to_be_determined,to_be_determined,to_be_determined
מעלה עירון,640941,to_be_determined,to_be_determined,to_be_determined
מעלות-תרשיחא,513429,to_be_determined,to_be_determined,to_be_determined
מצפה יריחו,1727208,to_be_determined,to_be_determined,to_be_determined
מצפה רמון,47817,to_be_determined,to_be_determined,to_be_determined
מרכז שפירא,530334,to_be_determined,to_be_determined,to_be_determined
משהד,251160,to_be_determined,to_be_determined,to_be_determined
מתן,635145,to_be_determined,to_be_determined,to_be_determined
נאעורה,253092,to_be_determined,to_be_determined,to_be_determined
נהריה,4395300,to_be_determined,to_be_determined,to_be_determined
נווה דניאל,1799175,to_be_determined,to_be_determined,to_be_determined
נוף איילון,643839,to_be_determined,to_be_determined,to_be_determined
נוף הגליל,512463,to_be_determined,to_be_determined,to_be_determined
נופית,620172,to_be_determined,to_be_determined,to_be_determined
נוקדים,1799658,to_be_determined,to_be_determined,to_be_determined
נחף,252126,to_be_determined,to_be_determined,to_be_determined
ניצן,169533,to_be_determined,to_be_determined,to_be_determined
נס ציונה,3477600,to_be_determined,to_be_determined,to_be_determined
נעלה,1829121,to_be_determined,to_be_determined,to_be_determined
נצרת,3525900,to_be_determined,to_be_determined,to_be_determined
נשר,1207500,to_be_determined,to_be_determined,to_be_determined
נתיבות,118818,to_be_determined,to_be_determined,to_be_determined
נתניה,3574200,to_be_determined,to_be_determined,to_be_determined
סאג'ור,253575,to_be_determined,to_be_determined,to_be_determined
סביון,283521,to_be_determined,to_be_determined,to_be_determined
סולם,254058,to_be_determined,to_be_determined,to_be_determined
סח'נין,3622500,to_be_determined,to_be_determined,to_be_determined
סייד (שבט),565110,to_be_determined,to_be_determined,to_be_determined
סלמה,601335,to_be_determined,to_be_determined,to_be_determined
ע'ג'ר,2173983,to_be_determined,to_be_determined,to_be_determined
עוזייר,255024,to_be_determined,to_be_determined,to_be_determined
עומר,321678,to_be_determined,to_be_determined,to_be_determined
עיילבון,255990,to_be_determined,to_be_determined,to_be_determined
עילוט,246813,to_be_determined,to_be_determined,to_be_determined
עין מאהל,256956,to_be_determined,to_be_determined,to_be_determined
עין נקובא,251643,to_be_determined,to_be_determined,to_be_determined
עין קנייא,2174466,to_be_determined,to_be_determined,to_be_determined
עכו,3670800,to_be_determined,to_be_determined,to_be_determined
עלי,1818495,to_be_determined,to_be_determined,to_be_determined
עלי זהב,1800141,to_be_determined,to_be_determined,to_be_determined
עמנואל,1767780,to_be_determined,to_be_determined,to_be_determined
עספיא,257922,to_be_determined,to_be_determined,to_be_determined
עפולה,3719100,to_be_determined,to_be_determined,to_be_determined
עפרה,1747011,to_be_determined,to_be_determined,to_be_determined
עץ אפרים,1824774,to_be_determined,to_be_determined,to_be_determined
עראבה,256473,to_be_determined,to_be_determined,to_be_determined
ערד,1236480,to_be_determined,to_be_determined,to_be_determined
ערערה,307671,to_be_determined,to_be_determined,to_be_determined
ערערה-בנגב,575736,to_be_determined,to_be_determined,to_be_determined
עתלית,25599,to_be_determined,to_be_determined,to_be_determined
פדואל,1819944,to_be_determined,to_be_determined,to_be_determined
פוריידיס,259371,to_be_determined,to_be_determined,to_be_determined
פסגות,1767297,to_be_determined,to_be_determined,to_be_determined
פסוטה,258405,to_be_determined,to_be_determined,to_be_determined
פקיעין (בוקייעה),258888,to_be_determined,to_be_determined,to_be_determined
פרדס חנה-כרכור,3767400,to_be_determined,to_be_determined,to_be_determined
פרדסיה,82593,to_be_determined,to_be_determined,to_be_determined
פתח תקווה,3815700,to_be_determined,to_be_determined,to_be_determined
צופים,1831053,to_be_determined,to_be_determined,to_be_determined
צור הדסה,537579,to_be_determined,to_be_determined,to_be_determined
צור יצחק,649635,to_be_determined,to_be_determined,to_be_determined
צור משה,133308,to_be_determined,to_be_determined,to_be_determined
צפת,3864000,to_be_determined,to_be_determined,to_be_determined
קדומים,1718031,to_be_determined,to_be_determined,to_be_determined
קדימה-צורן,94185,to_be_determined,to_be_determined,to_be_determined
קודייראת א-צאנע(שבט),465612,to_be_determined,to_be_determined,to_be_determined
קיסריה,563661,to_be_determined,to_be_determined,to_be_determined
קלנסווה,308154,to_be_determined,to_be_determined,to_be_determined
קציר,600369,to_be_determined,to_be_determined,to_be_determined
קצר א-סר,650601,to_be_determined,to_be_determined,to_be_determined
קצרין,1980300,to_be_determined,to_be_determined,to_be_determined
קרית אונו,1265460,to_be_determined,to_be_determined,to_be_determined
קרית ארבע,1744113,to_be_determined,to_be_determined,to_be_determined
קרית אתא,3284400,to_be_determined,to_be_determined,to_be_determined
קרית ביאליק,4588500,to_be_determined,to_be_determined,to_be_determined
קרית גת,1270290,to_be_determined,to_be_determined,to_be_determined
קרית טבעון,1110900,to_be_determined,to_be_determined,to_be_determined
קרית ים,4636800,to_be_determined,to_be_determined,to_be_determined
קרית יערים,549171,to_be_determined,to_be_determined,to_be_determined
קרית מוצקין,3960600,to_be_determined,to_be_determined,to_be_determined
קרית מלאכי,499422,to_be_determined,to_be_determined,to_be_determined
קרית עקרון,226527,to_be_determined,to_be_determined,to_be_determined
קרית שמונה,1352400,to_be_determined,to_be_determined,to_be_determined
קרני שומרון,1758120,to_be_determined,to_be_determined,to_be_determined
ראמה,262269,to_be_determined,to_be_determined,to_be_determined
ראש העין,1275120,to_be_determined,to_be_determined,to_be_determined
ראש פינה,12558,to_be_determined,to_be_determined,to_be_determined
ראשון לציון,4008900,to_be_determined,to_be_determined,to_be_determined
רבבה,1832985,to_be_determined,to_be_determined,to_be_determined
רהט,560763,to_be_determined,to_be_determined,to_be_determined
רומת הייב,481551,to_be_determined,to_be_determined,to_be_determined
רחובות,4057200,to_be_determined,to_be_determined,to_be_determined
ריינה,261786,to_be_determined,to_be_determined,to_be_determined
רכסים,445326,to_be_determined,to_be_determined,to_be_determined
רמלה,4105500,to_be_determined,to_be_determined,to_be_determined
רמת גן,4153800,to_be_determined,to_be_determined,to_be_determined
רמת השרון,1279950,to_be_determined,to_be_determined,to_be_determined
רמת ישי,58926,to_be_determined,to_be_determined,to_be_determined
רעננה,4202100,to_be_determined,to_be_determined,to_be_determined
שבלי - אום אל-גנם,440979,to_be_determined,to_be_determined,to_be_determined
שגב-שלום,621138,to_be_determined,to_be_determined,to_be_determined
שדרות,497973,to_be_determined,to_be_determined,to_be_determined
שוהם,629832,to_be_determined,to_be_determined,to_be_determined
שייח' דנון,317814,to_be_determined,to_be_determined,to_be_determined
שילה,1758603,to_be_determined,to_be_determined,to_be_determined
שלומי,392196,to_be_determined,to_be_determined,to_be_determined
שמשית,645771,to_be_determined,to_be_determined,to_be_determined
שעב,259854,to_be_determined,to_be_determined,to_be_determined
שערי תקווה,1796760,to_be_determined,to_be_determined,to_be_determined
שפרעם,4250400,to_be_determined,to_be_determined,to_be_determined
שתולים,368529,to_be_determined,to_be_determined,to_be_determined
תל אביב - יפו,2415000,to_be_determined,to_be_determined,to_be_determined
תל מונד,74382,to_be_determined,to_be_determined,to_be_determined
תל שבע,509082,to_be_determined,to_be_determined,to_be_determined
תפרח,342447,to_be_determined,to_be_determined,to_be_determined
תקוע,1720929,to_be_determined,to_be_determined,to_be_determined
